,I_1,I_2,I_4,I_8,I_16,I_inf,W_100,W_1000,W_10000,W_100000,est_lb,est,est_ub
40,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.27464154443906,29.76239043851144,30.250139332583814
41,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.594955747341988,30.184203951572904,30.773452155803817
42,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.45119897832909,29.99575441948191,30.54030986063473
43,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.28592708412595,29.77677563990741,30.267624195688867
44,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.5382061487548,27.694483262780842,27.85076037680689
45,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.47520761053652,30.01888976901629,30.562571927496066
46,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.555544557489256,30.125695751120602,30.695846944751946
47,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.327163813807804,29.830911020977357,30.33465822814691
48,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.977032567803924,44.992032567803925,45.007032567803925
49,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.542845642645297,30.108759541293093,30.67467343994089
50,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,49.886690334299,59.26723777912743,68.64778522395585
51,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.53286193481851,30.09322907189185,30.653596208965194
52,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.531718950668257,30.105207159314308,30.67869536796036
53,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.458012802737677,30.005716251881616,30.553419701025554
54,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.49017380663796,44.514233650005835,44.53829349337371
55,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,49.64934909558842,53.08868483319237,56.528020570796315
56,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,46.87766268027798,46.93487507456766,46.992087468857335
57,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.15518108276896,44.17462742105265,44.19407375933633
58,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.49753399196176,44.59048193094779,44.683429869933825
59,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.60821639342946,44.62321639342946,44.63821639342946
60,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.16007548358088,29.61826051678092,30.07644554998096
61,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.392109608653296,29.916864764059078,30.441619919464856
62,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,49.41278792527986,55.65259052976639,61.89239313425293
63,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.63293461796108,30.175003002531426,30.717071387101775
64,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.555169291979045,30.126972326496496,30.698775361013947
65,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.426981428422117,29.938550227267484,30.450119026112848
66,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.561684988677946,30.559113595644654,31.556542202611357
67,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.850445385776986,28.01668157218502,28.18291775859306
68,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,20.51203957320452,22.432594486410746,24.35314939961697
69,5.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.40496530219345,29.933079202808337,30.46119310342322
70,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.633349984268317,30.20998133980533,30.786612695342342
71,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.491809364647377,30.04741490975124,30.603020454855102
72,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.22525208176254,29.69984580568272,30.174439529602896
73,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.361038848179604,29.875184488634886,30.389330129090165
74,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.429358975840216,45.46045757843549,45.49155618103076
75,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.590016867852132,27.747762721354007,27.905508574855883
76,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.96547638565059,44.99375995412936,45.02204352260812
77,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.91668104192093,28.084937644058243,28.25319424619556
78,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.724422760622915,44.79567310171121,44.866923442799504
79,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.626096994946305,30.171306986378127,30.716516977809945
80,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.63794168011225,30.220906308870006,30.803870937627764
81,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.58403711955694,30.17182908688646,30.75962105421598
82,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.633689892638657,30.19901267415258,30.764335455666505
83,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.616760506426708,30.19819460094928,30.779628695471853
84,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.79250665269794,27.956669997401825,28.120833342105712
85,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.36787837487022,29.885124168308504,30.40236996174679
86,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,35.40124096371019,64.0469971275436,92.69275329137702
87,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.243305668307165,45.76089412124878,46.278482574190406
88,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.59486010158228,45.60986010158228,45.62486010158228
89,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.80707369467243,44.891180129918055,44.97528656516367
90,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.481008458773225,30.035848360039875,30.590688261306525
91,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.434491611310914,29.973270398182294,30.512049185053677
92,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.900957416106603,28.068696237567853,28.236435059029102
93,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.40877829896458,29.93856846664024,30.4683586343159
94,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.698870384235484,27.860014083543348,28.021157782851212
95,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.340678531769342,29.848092266006024,30.355506000242706
96,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,50.30698916076206,66.69456132196137,83.0821334831607
97,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.31758033435124,29.818183411914287,30.318786489477333
98,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.65074756270082,27.810360535189282,27.969973507677746
99,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.37662802028802,45.51624454535014,45.655861070412264
100,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,53.71373772876521,57.445148438167806,61.1765591475704
101,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,50.01127522494923,69.78448208374564,89.55768894254207
102,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.183008715547075,61.83240246968013,78.48179622381319
103,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.44270625883727,29.986290309957788,30.529874361078303
104,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.317133581393385,45.34756859649154,45.37800361158969
105,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,43.3028003716213,43.96016482543865,44.61752927925601
106,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,25.525174598559108,27.079527090848522,28.633879583137936
107,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,43.46706398125207,55.82487212253346,68.18268026381486
108,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,82.25525171948792,178.49565071150505,274.7360497035222
109,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,43.14451600771711,45.54710089440641,47.949685781095724
