,I_1,I_2,I_4,I_8,I_16,I_inf,W_100,W_1000,W_10000,W_100000,est_lb,est,est_ub
76,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.67108903683655,33.85863184093206,34.04617464502757
77,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.88670898881984,34.90170898881984,34.91670898881984
78,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.0212776081147,34.18329540830665,34.34531320849859
79,6.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.35012912911145,33.42734363287231,33.50455813663317
80,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.487471141789094,34.35990549476928,35.23233984774947
81,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.83983279139572,33.85483279139572,33.86983279139572
82,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.50137487870717,1529.5013748787073,3029.5013748787073
83,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.17197733457226,34.1977497268081,34.223522119043935
84,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.757098564341252,1529.757098564341,3029.757098564341
85,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,32.30031712469041,32.38017416318968,32.460031201688956
86,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.26193302721853,34.29407241839988,34.32621180958123
87,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,28.899043177704186,1528.8990431777042,3028.8990431777042
88,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,32.4358838550008,32.499693983115804,32.563504111230806
89,7.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,35.59105635979173,35.73689860621461,35.88274085263748
90,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.47645274423219,33.49145274423219,33.50645274423219
91,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.13977456020381,34.31970606412854,34.49963756805327
92,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.85036940108228,33.86536940108228,33.880369401082284
93,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.1711388082445,34.195987688769165,34.22083656929383
94,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,36.70858226306408,40.167836399456995,43.62709053584991
95,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.584847160630524,1529.5848471606305,3029.5848471606305
96,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.42217416297267,34.43717416297267,34.45217416297267
97,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.00503439446999,34.020902621252866,34.036770848035744
98,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.99750979188764,1544.9975097918878,3044.9975097918878
99,8.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.23082814011475,34.304716951410846,34.37860576270694
100,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.83092262413027,33.90255332890925,33.97418403368823
101,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,35.21358274261921,35.22858274261921,35.24358274261921
102,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,35.22463478463792,35.254111928831435,35.28358907302494
103,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.471305162356074,32.486305162356075,32.501305162356076
104,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,30.790444049926787,32.55065839895144,34.3108727479761
105,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,37.875942517201054,39.16581544894544,40.455688380689814
106,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,31.99265767873909,32.1481048630535,32.30355204736791
